"state_name","year","quarter","total_registered_users","total_app_opens"
"jammu-&-kashmir",2020,3,"2849457","34330362"
"arunachal-pradesh",2021,4,"944832","33690885"
"nagaland",2022,4,"963615","33514746"
"andaman-&-nicobar-islands",2023,1,"277452","33037992"
"goa",2020,4,"1582752","32973354"
"punjab",2019,2,"7800336","32784282"
"tripura",2021,4,"1638876","32186106"
"himachal-pradesh",2019,3,"2628552","32162223"
"meghalaya",2022,4,"885966","30317772"
"meghalaya",2021,3,"669195","29858868"
"ladakh",2024,4,"581172","29644740"
"jammu-&-kashmir",2020,2,"2535882","29569959"
"andaman-&-nicobar-islands",2023,4,"311934","29537880"
"manipur",2021,3,"1085247","29231316"
"tripura",2021,2,"1416459","28502643"
"mizoram",2023,4,"472881","28274430"
"sikkim",2022,4,"725904","26846592"
"ladakh",2022,1,"277476","26706240"
"kerala",2019,2,"7650501","26019660"
"nagaland",2021,3,"725391","25985973"
"chandigarh",2021,1,"1259994","23758599"
"puducherry",2021,1,"1038837","23743521"
"manipur",2021,4,"1163238","22809882"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,2,"1922172","22468857"
"uttarakhand",2019,2,"4243017","22362837"
"assam",2019,2,"4500384","22050978"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,1,"964188","21907386"
"meghalaya",2021,2,"617058","21872412"
"manipur",2021,2,"1006227","21807006"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,3,"1115622","21488202"
"goa",2020,1,"1175700","21441699"
"ladakh",2023,4,"374484","21324369"
"ladakh",2021,3,"243630","21298650"
"puducherry",2021,3,"1189827","20698776"
"nagaland",2021,2,"670011","20150676"
"chandigarh",2020,4,"1174206","19433922"
"nagaland",2021,4,"779970","19150011"
"chandigarh",2021,3,"1441389","19136421"
"puducherry",2020,4,"958878","19131408"
"goa",2019,4,"1060638","18871629"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,4,"889479","18589308"
"goa",2020,3,"1424886","18389298"
"andaman-&-nicobar-islands",2022,3,"253926","18205062"
"meghalaya",2021,4,"720804","18145782"
"tripura",2020,4,"1227330","18051747"
"tripura",2021,1,"1318908","18028980"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,1,"1847589","17901300"
"tripura",2020,3,"1130193","17333724"
"sikkim",2021,3,"554079","17143695"
"sikkim",2021,4,"592221","16576656"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,3,"1883445","16287897"
"mizoram",2021,3,"301941","16157154"
"goa",2020,2,"1291917","15930378"
"chandigarh",2020,1,"938661","15603633"
"andaman-&-nicobar-islands",2022,2,"241590","15540039"
"puducherry",2021,2,"1109883","15536748"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,2,"1034982","15188949"
"chandigarh",2019,4,"868770","14881323"
"chandigarh",2020,3,"1087764","14666217"
"arunachal-pradesh",2021,1,"753720","14390124"
"goa",2019,3,"951582","14261676"
"chandigarh",2021,2,"1345716","14201772"
"puducherry",2023,3,"1759650","13961079"
"chandigarh",2019,3,"802011","13875588"
"sikkim",2021,2,"515220","13623363"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,2,"734442","13515381"
"jammu-&-kashmir",2020,1,"2206224","13430682"
"arunachal-pradesh",2020,4,"693876","13418001"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,1,"1573851","13413852"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,3,"1707105","13348539"
"tripura",2020,2,"1009998","13329663"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,3,"803838","13264497"
"ladakh",2021,2,"225144","13174896"
"andaman-&-nicobar-islands",2022,4,"265326","13062279"
"puducherry",2020,3,"855519","12666477"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,1,"655488","12585366"
"puducherry",2022,3,"1489710","12560733"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,2,"1639092","12258075"
"tripura",2020,1,"899886","12189669"
"mizoram",2021,2,"277656","12043791"
"arunachal-pradesh",2020,3,"618138","12010263"
"puducherry",2022,1,"1344153","11815971"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,1,"1273710","11732376"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,2,"1347048","11658876"
"andaman-&-nicobar-islands",2022,1,"228864","11542221"
"jammu-&-kashmir",2019,3,"1975365","11531757"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,3,"1424421","11513643"
"ladakh",2022,4,"319011","11497017"
"puducherry",2022,2,"1414989","11490870"
"puducherry",2020,1,"692724","11462829"
"puducherry",2023,2,"1693293","11451123"
"manipur",2020,4,"866316","11350296"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,4,"592794","11311629"
"chandigarh",2024,3,"2101194","11273463"
"manipur",2021,1,"938004","11127681"
"tripura",2019,4,"816894","10832421"
"manipur",2020,3,"775689","10657125"
"puducherry",2023,1,"1631457","10495287"
"chandigarh",2020,2,"1009053","10353750"
"arunachal-pradesh",2020,2,"532602","10161018"
"chandigarh",2024,2,"2348373","10053381"
"tripura",2019,3,"736368","10052973"
"himachal-pradesh",2019,2,"2317809","9965133"
"puducherry",2024,1,"1894989","9897003"
"puducherry",2019,4,"612876","9789366"
"mizoram",2022,4,"398610","9433653"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,3,"530787","9378567"
"andaman-&-nicobar-islands",2021,3,"200946","9364875"
"puducherry",2020,2,"766800","9172824"
"manipur",2020,2,"646488","9034473"
"nagaland",2021,1,"623424","8941743"
"meghalaya",2021,1,"572607","8817078"
"nagaland",2020,4,"576564","8766363"
"puducherry",2024,2,"1966458","8648007"
"nagaland",2020,3,"519318","8605926"
"sikkim",2021,1,"480639","8385993"
"meghalaya",2020,4,"529341","8237751"
"jammu-&-kashmir",2019,2,"1893579","8116119"
"chandigarh",2024,1,"2264547","8042406"
"puducherry",2024,3,"1887996","8020641"
"ladakh",2021,4,"261171","7995609"
"arunachal-pradesh",2020,1,"447198","7794963"
"sikkim",2020,4,"445629","7436010"
"puducherry",2019,3,"533604","7430766"
"meghalaya",2020,3,"473223","7153602"
"chandigarh",2022,1,"1624647","6965055"
"chandigarh",2022,2,"1708746","6857937"
"andaman-&-nicobar-islands",2021,2,"186285","6744669"
"meghalaya",2020,2,"408633","6615759"
"manipur",2020,1,"532122","6526926"
"chandigarh",2022,3,"1796094","6520068"
"sikkim",2020,3,"404319","6469410"
"arunachal-pradesh",2019,4,"387963","6421020"
"nagaland",2020,2,"390615","6357837"
"andaman-&-nicobar-islands",2021,4,"215340","6338730"
"mizoram",2021,4,"325215","6282354"
"chandigarh",2023,1,"1963566","6003195"
"chandigarh",2023,2,"2035986","5936964"
"chandigarh",2023,3,"2112432","5774766"
"sikkim",2020,2,"359763","5737005"
"manipur",2019,4,"466074","5566464"
"arunachal-pradesh",2019,3,"336447","5435100"
"lakshadweep",2024,4,"35307","5393472"
"meghalaya",2020,1,"341442","5148633"
"sikkim",2020,1,"313893","5091489"
"nagaland",2020,1,"321429","5053560"
"manipur",2019,3,"408948","4782615"
"sikkim",2019,4,"278916","4656012"
"meghalaya",2019,4,"300090","4471626"
"nagaland",2019,4,"279372","4363653"
"meghalaya",2019,3,"262185","4163442"
"goa",2019,2,"836820","4056696"
"sikkim",2019,3,"246384","3950412"
"nagaland",2019,3,"240231","3732066"
"ladakh",2020,4,"194559","3698271"
"chandigarh",2019,2,"721317","3660528"
"mizoram",2021,1,"257250","3579642"
"ladakh",2021,1,"209757","3552612"
"mizoram",2020,4,"236193","3288546"
"ladakh",2020,3,"175203","3047040"
"andaman-&-nicobar-islands",2021,1,"173274","3013008"
"jammu-&-kashmir",2019,4,"2020101","2995716"
"tripura",2019,2,"652932","2860881"
"mizoram",2020,3,"204945","2774595"
"lakshadweep",2023,4,"24675","2773662"
"andaman-&-nicobar-islands",2020,4,"157188","2661624"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,2,"475740","2582058"
"mizoram",2020,2,"166722","2217924"
"ladakh",2020,2,"159102","2087019"
"lakshadweep",2024,2,"26685","2050272"
"puducherry",2019,2,"469374","1985796"
"lakshadweep",2024,1,"25734","1936125"
"mizoram",2020,1,"139497","1934049"
"ladakh",2020,1,"143370","1771452"
"mizoram",2019,4,"119427","1587504"
"andaman-&-nicobar-islands",2020,3,"124005","1546695"
"ladakh",2019,3,"117519","1509378"
"arunachal-pradesh",2019,2,"287655","1508619"
"ladakh",2019,4,"129324","1411320"
"manipur",2019,2,"353241","1394487"
"mizoram",2019,3,"102402","1373502"
"sikkim",2019,2,"212997","1195560"
"meghalaya",2019,2,"224238","1187292"
"nagaland",2019,2,"200673","1087491"
"andaman-&-nicobar-islands",2020,2,"98130","915216"
"lakshadweep",2023,3,"23736","883218"
"andaman-&-nicobar-islands",2020,1,"85104","580758"
"andaman-&-nicobar-islands",2019,4,"77880","531036"
"andaman-&-nicobar-islands",2019,3,"71793","513321"
"ladakh",2019,2,"106548","471951"
"mizoram",2019,2,"86088","399075"
"lakshadweep",2023,2,"22755","271503"
"lakshadweep",2022,4,"20883","217131"
"lakshadweep",2021,4,"16914","201960"
"andaman-&-nicobar-islands",2019,2,"65193","157920"
"lakshadweep",2021,3,"15861","147381"
"lakshadweep",2021,1,"13731","141849"
"lakshadweep",2022,1,"17970","136230"
"lakshadweep",2023,1,"21801","131463"
"lakshadweep",2020,4,"12537","123432"
"lakshadweep",2021,2,"14688","120903"
"lakshadweep",2022,2,"18981","115350"
"lakshadweep",2020,3,"10932","96384"
"lakshadweep",2020,2,"9561","87606"
"lakshadweep",2024,3,"34185","84678"
"lakshadweep",2020,1,"8316","65946"
"lakshadweep",2022,3,"19935","54333"
"lakshadweep",2019,4,"7281","53280"
"lakshadweep",2019,3,"6351","45114"
"lakshadweep",2019,2,"5241","13740"
"rajasthan",2018,2,"12638892","0"
"sikkim",2018,2,"84291","0"
"tripura",2019,1,"549762","0"
"uttarakhand",2018,4,"3036309","0"
"west-bengal",2018,3,"14555220","0"
"goa",2019,1,"714456","0"
"chandigarh",2018,2,"345657","0"
"odisha",2019,1,"12962232","0"
"himachal-pradesh",2018,1,"682119","0"
"mizoram",2018,4,"58095","0"
"manipur",2018,1,"89775","0"
"jharkhand",2018,1,"2657286","0"
"meghalaya",2019,1,"184461","0"
"tripura",2018,2,"250107","0"
"tamil-nadu",2018,1,"6314262","0"
"uttarakhand",2018,2,"1947426","0"
"puducherry",2018,2,"196740","0"
"delhi",2019,1,"16497789","0"
"odisha",2018,1,"4782045","0"
"chhattisgarh",2018,1,"2037789","0"
"chandigarh",2019,1,"627525","0"
"madhya-pradesh",2018,1,"7660809","0"
"west-bengal",2018,4,"18837834","0"
"punjab",2018,4,"5597145","0"
"gujarat",2019,1,"19957608","0"
"madhya-pradesh",2018,4,"16096326","0"
"assam",2019,1,"3777255","0"
"assam",2018,4,"3117663","0"
"ladakh",2018,3,"53247","0"
"mizoram",2018,1,"22779","0"
"punjab",2018,1,"2541426","0"
"puducherry",2018,1,"147954","0"
"arunachal-pradesh",2018,4,"185556","0"
"nagaland",2018,4,"128991","0"
"andhra-pradesh",2018,1,"10009350","0"
"himachal-pradesh",2018,3,"1222902","0"
"odisha",2018,2,"6557343","0"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,2,"214374","0"
"maharashtra",2018,2,"24667113","0"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,4,"349533","0"
"tamil-nadu",2018,2,"8988108","0"
"bihar",2018,1,"6401412","0"
"rajasthan",2018,3,"15526359","0"
"karnataka",2018,2,"15091995","0"
"bihar",2018,2,"9017616","0"
"haryana",2018,1,"5542071","0"
"west-bengal",2019,1,"22348275","0"
"jharkhand",2018,3,"4597086","0"
"himachal-pradesh",2018,4,"1579029","0"
"arunachal-pradesh",2018,3,"137766","0"
"haryana",2018,4,"11379237","0"
"lakshadweep",2018,1,"1503","0"
"manipur",2018,3,"185805","0"
"west-bengal",2018,2,"11501385","0"
"telangana",2018,1,"9946680","0"
"assam",2018,1,"1155711","0"
"ladakh",2018,4,"71649","0"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,1,"159774","0"
"assam",2018,2,"1713138","0"
"manipur",2019,1,"298581","0"
"delhi",2018,3,"10514733","0"
"himachal-pradesh",2018,2,"945897","0"
"delhi",2018,2,"8268423","0"
"punjab",2019,1,"6679770","0"
"delhi",2018,1,"6261066","0"
"uttar-pradesh",2019,1,"37375983","0"
"telangana",2018,3,"15415503","0"
"chandigarh",2018,4,"533241","0"
"nagaland",2018,1,"45222","0"
"himachal-pradesh",2019,1,"1959615","0"
"andaman-&-nicobar-islands",2018,2,"28215","0"
"chhattisgarh",2018,2,"2852025","0"
"kerala",2018,1,"2352552","0"
"west-bengal",2018,1,"7814367","0"
"karnataka",2018,4,"24947406","0"
"maharashtra",2018,4,"40144806","0"
"telangana",2019,1,"23890275","0"
"nagaland",2019,1,"161733","0"
"jammu-&-kashmir",2019,1,"1592007","0"
"uttar-pradesh",2018,1,"14082750","0"
"karnataka",2018,3,"19117947","0"
"andaman-&-nicobar-islands",2018,4,"45666","0"
"sikkim",2018,4,"145614","0"
"andaman-&-nicobar-islands",2018,1,"20220","0"
"uttarakhand",2019,1,"3674865","0"
"meghalaya",2018,1,"55539","0"
"goa",2018,1,"275808","0"
"punjab",2018,2,"3456570","0"
"andaman-&-nicobar-islands",2019,1,"55788","0"
"meghalaya",2018,2,"79854","0"
"uttar-pradesh",2018,3,"24289449","0"
"mizoram",2018,3,"43506","0"
"tamil-nadu",2018,4,"15599634","0"
"nagaland",2018,2,"67308","0"
"jammu-&-kashmir",2018,1,"529275","0"
"andhra-pradesh",2019,1,"24849057","0"
"assam",2018,3,"2354406","0"
"lakshadweep",2018,4,"3468","0"
"arunachal-pradesh",2018,2,"98649","0"
"chandigarh",2018,1,"258804","0"
"maharashtra",2019,1,"48853353","0"
"haryana",2018,3,"9061194","0"
"nagaland",2018,3,"96270","0"
"puducherry",2018,3,"244638","0"
"sikkim",2019,1,"176868","0"
"lakshadweep",2019,1,"4248","0"
"maharashtra",2018,3,"31305099","0"
"andaman-&-nicobar-islands",2018,3,"36447","0"
"haryana",2018,2,"7341663","0"
"andhra-pradesh",2018,3,"16282851","0"
"odisha",2018,4,"10871733","0"
"goa",2018,3,"461406","0"
"tamil-nadu",2018,3,"11700531","0"
"rajasthan",2018,4,"19076214","0"
"arunachal-pradesh",2019,1,"230871","0"
"maharashtra",2018,1,"18320982","0"
"madhya-pradesh",2019,1,"19243209","0"
"sikkim",2018,3,"112911","0"
"goa",2018,4,"586050","0"
"goa",2018,2,"366522","0"
"jammu-&-kashmir",2018,4,"1309689","0"
"jammu-&-kashmir",2018,2,"784827","0"
"gujarat",2018,1,"8070144","0"
"kerala",2018,4,"5271978","0"
"jammu-&-kashmir",2018,3,"1027587","0"
"meghalaya",2018,4,"148902","0"
"andhra-pradesh",2018,4,"20572227","0"
"jharkhand",2019,1,"6837987","0"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,3,"276321","0"
"telangana",2018,2,"12780345","0"
"odisha",2018,3,"8387154","0"
"sikkim",2018,1,"60153","0"
"bihar",2019,1,"17235351","0"
"haryana",2019,1,"13616301","0"
"rajasthan",2019,1,"23136612","0"
"manipur",2018,2,"138165","0"
"jharkhand",2018,4,"5741847","0"
"arunachal-pradesh",2018,1,"64485","0"
"lakshadweep",2018,2,"2058","0"
"karnataka",2018,1,"11153289","0"
"uttar-pradesh",2018,2,"19327662","0"
"chhattisgarh",2018,4,"4739994","0"
"madhya-pradesh",2018,3,"12927927","0"
"madhya-pradesh",2018,2,"10324986","0"
"mizoram",2018,2,"31266","0"
"tripura",2018,4,"459795","0"
"gujarat",2018,2,"10697475","0"
"ladakh",2018,1,"26352","0"
"ladakh",2018,2,"38754","0"
"puducherry",2019,1,"399177","0"
"chhattisgarh",2018,3,"3653376","0"
"uttarakhand",2018,1,"1449129","0"
"punjab",2018,3,"4419444","0"
"gujarat",2018,4,"16737120","0"
"uttar-pradesh",2018,4,"31025892","0"
"jharkhand",2018,2,"3691797","0"
"puducherry",2018,4,"328482","0"
"meghalaya",2018,3,"111843","0"
"chandigarh",2018,3,"431679","0"
"kerala",2019,1,"6409872","0"
"tripura",2018,3,"350622","0"
"gujarat",2018,3,"13299549","0"
"chhattisgarh",2019,1,"5726694","0"
"telangana",2018,4,"19589037","0"
"kerala",2018,3,"4042794","0"
"uttarakhand",2018,3,"2431836","0"
"bihar",2018,3,"11353605","0"
"manipur",2018,4,"247767","0"
"tripura",2018,1,"165471","0"
"lakshadweep",2018,3,"2754","0"
"delhi",2018,4,"13890939","0"
"andhra-pradesh",2018,2,"13207620","0"
"ladakh",2019,1,"88947","0"
"karnataka",2019,1,"30798522","0"
"mizoram",2019,1,"71010","0"
"kerala",2018,2,"3199761","0"
"tamil-nadu",2019,1,"18888909","0"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,1,"421596","0"
"rajasthan",2018,1,"9474606","0"
"bihar",2018,4,"14329995","0"
