"state_name","current_year","current_quarter","current_tx","previous_tx","growth","growth_percent"
"nagaland",2018,4,"139333","94371","44962","47.64"
"himachal-pradesh",2018,4,"1307883","886754","421129","47.49"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,3,"3129470","2125083","1004387","47.26"
"ladakh",2020,3,"228222","155010","73212","47.23"
"chhattisgarh",2020,4,"35529636","24148539","11381097","47.13"
"maharashtra",2019,3,"148735581","101149853","47585728","47.04"
"rajasthan",2018,4,"20959723","14257098","6702625","47.01"
"chhattisgarh",2019,1,"7887669","5365844","2521825","47.00"
"punjab",2019,1,"7172137","4887137","2285000","46.76"
"chandigarh",2018,4,"905116","616936","288180","46.71"
"jammu-&-kashmir",2022,2,"23813747","16245311","7568436","46.59"
"gujarat",2018,3,"11334149","7745733","3588416","46.33"
"rajasthan",2020,3,"149088676","101954656","47134020","46.23"
"maharashtra",2018,4,"46090223","31538538","14551685","46.14"
"delhi",2020,3,"96491861","66042018","30449843","46.11"
"meghalaya",2018,4,"161132","110290","50842","46.10"
"andaman-&-nicobar-islands",2018,4,"23758","16265","7493","46.07"
"puducherry",2018,3,"190271","130261","60010","46.07"
"mizoram",2018,2,"27051","18561","8490","45.74"
"west-bengal",2019,4,"96805838","66444829","30361009","45.69"
"jharkhand",2020,4,"39431633","27068473","12363160","45.67"
"ladakh",2020,4,"332134","228222","103912","45.53"
"sikkim",2018,3,"108500","74578","33922","45.49"
"telangana",2020,4,"343643787","236372126","107271661","45.38"
"mizoram",2018,3,"39316","27051","12265","45.34"
"maharashtra",2020,3,"268310924","184790761","83520163","45.20"
"ladakh",2021,2,"399716","275415","124301","45.13"
"lakshadweep",2023,4,"63479","43757","19722","45.07"
"tripura",2018,2,"214559","148157","66402","44.82"
"ladakh",2023,1,"1567246","1083372","483874","44.66"
"jharkhand",2018,2,"3152080","2178921","973159","44.66"
"lakshadweep",2024,3,"157478","109085","48393","44.36"
"jammu-&-kashmir",2024,2,"108179014","75116355","33062659","44.02"
"nagaland",2018,3,"94371","65599","28772","43.86"
"chhattisgarh",2021,3,"64237938","44689420","19548518","43.74"
"tamil-nadu",2019,1,"32275045","22457444","9817601","43.72"
"karnataka",2020,4,"431536984","300360531","131176453","43.67"
"haryana",2020,4,"83171439","57938179","25233260","43.55"
"goa",2019,1,"738812","514755","224057","43.53"
"andaman-&-nicobar-islands",2018,3,"16265","11340","4925","43.43"
"jammu-&-kashmir",2021,2,"10027819","6997570","3030249","43.30"
"arunachal-pradesh",2019,3,"370234","258656","111578","43.14"
"rajasthan",2018,3,"14257098","9973697","4283401","42.95"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,3,"289575","202626","86949","42.91"
"himachal-pradesh",2018,2,"687695","481918","205777","42.70"
"goa",2018,2,"229575","160897","68678","42.68"
"uttarakhand",2018,4,"3178761","2229132","949629","42.60"
"arunachal-pradesh",2020,2,"808774","567175","241599","42.60"
"jammu-&-kashmir",2023,1,"38927244","27316158","11611086","42.51"
"karnataka",2018,2,"17116447","12016899","5099548","42.44"
"sikkim",2018,4,"154533","108500","46033","42.43"
"tamil-nadu",2018,4,"22457444","15774078","6683366","42.37"
"sikkim",2019,3,"552436","388244","164192","42.29"
"nagaland",2020,3,"736319","517566","218753","42.27"
"madhya-pradesh",2020,3,"108579881","76340573","32239308","42.23"
"goa",2019,3,"1092416","768441","323975","42.16"
"karnataka",2021,3,"753296539","530649046","222647493","41.96"
"ladakh",2018,4,"35211","24864","10347","41.61"
"maharashtra",2018,3,"31538538","22285740","9252798","41.52"
"manipur",2021,1,"2303535","1627852","675683","41.51"
"madhya-pradesh",2020,4,"153652541","108579881","45072660","41.51"
"andaman-&-nicobar-islands",2021,4,"636123","449764","186359","41.43"
"andhra-pradesh",2020,3,"204902935","144917855","59985080","41.39"
"assam",2018,3,"2351851","1663873","687978","41.35"
"west-bengal",2019,3,"66444829","47023535","19421294","41.30"
"puducherry",2019,4,"1012655","716826","295829","41.27"
"uttar-pradesh",2018,2,"17710943","12537805","5173138","41.26"
"chandigarh",2020,3,"2158086","1528010","630076","41.24"
"punjab",2018,4,"4887137","3462108","1425029","41.16"
"karnataka",2020,3,"300360531","213221712","87138819","40.87"
"chandigarh",2019,1,"1274476","905116","369360","40.81"
"goa",2023,1,"24195070","17192674","7002396","40.73"
"andhra-pradesh",2019,4,"107218103","76288614","30929489","40.54"
"mizoram",2018,4,"55242","39316","15926","40.51"
"odisha",2018,2,"8158144","5809821","2348323","40.42"
"jharkhand",2019,3,"14220647","10128211","4092436","40.41"
"odisha",2019,3,"41422272","29512024","11910248","40.36"
"delhi",2021,3,"238760608","170157264","68603344","40.32"
"goa",2021,1,"5331549","3801381","1530168","40.25"
"jammu-&-kashmir",2023,2,"54588299","38927244","15661055","40.23"
"lakshadweep",2020,2,"7220","5151","2069","40.17"
"uttar-pradesh",2020,4,"178167517","127405259","50762258","39.84"
"tamil-nadu",2021,3,"204357404","146158442","58198962","39.82"
"odisha",2020,4,"92324950","66033829","26291121","39.81"
"andhra-pradesh",2020,4,"286118552","204902935","81215617","39.64"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,4,"404082","289575","114507","39.54"
"andaman-&-nicobar-islands",2021,2,"341414","244752","96662","39.49"
"madhya-pradesh",2021,3,"311443334","223314680","88128654","39.46"
"karnataka",2019,4,"237796252","170733735","67062517","39.28"
"rajasthan",2021,3,"400284753","287477039","112807714","39.24"
"chhattisgarh",2018,4,"5365844","3859604","1506240","39.03"
"sikkim",2019,4,"767070","552436","214634","38.85"
"nagaland",2019,3,"261878","188753","73125","38.74"
"goa",2019,4,"1515272","1092416","422856","38.71"
"haryana",2020,3,"57938179","41781050","16157129","38.67"
"west-bengal",2020,3,"79954504","57676797","22277707","38.63"
"maharashtra",2021,3,"792874060","573616486","219257574","38.22"
"punjab",2018,2,"2581163","1870433","710730","38.00"
"kerala",2018,4,"4310654","3134348","1176306","37.53"
"ladakh",2020,1,"116419","84706","31713","37.44"
"assam",2021,4,"46020361","33504441","12515920","37.36"
"goa",2021,3,"6467763","4710135","1757628","37.32"
"haryana",2018,2,"6150931","4480770","1670161","37.27"
"telangana",2019,2,"89610379","65290702","24319677","37.25"
"meghalaya",2020,1,"502283","365981","136302","37.24"
"jharkhand",2023,1,"240458103","175300092","65158011","37.17"
"chhattisgarh",2018,3,"3859604","2816156","1043448","37.05"
"tripura",2023,1,"7118687","5198190","1920497","36.95"
"nagaland",2020,2,"517566","378051","139515","36.90"
"meghalaya",2018,2,"67857","49571","18286","36.89"
"lakshadweep",2020,1,"5151","3765","1386","36.81"
"uttarakhand",2018,2,"1704122","1246685","457437","36.69"
"tamil-nadu",2019,4,"56596411","41410183","15186228","36.67"
"andhra-pradesh",2018,2,"12353918","9039585","3314333","36.66"
"puducherry",2021,3,"5121726","3751387","1370339","36.53"
"sikkim",2021,4,"1584345","1160594","423751","36.51"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,2,"202626","148549","54077","36.40"
"chandigarh",2021,1,"3970237","2912716","1057521","36.31"
"uttar-pradesh",2018,4,"36100767","26515356","9585411","36.15"
"maharashtra",2018,2,"22285740","16387034","5898706","36.00"
"kerala",2018,3,"3134348","2308165","826183","35.79"
"chhattisgarh",2022,3,"158252587","116584048","41668539","35.74"
"lakshadweep",2020,4,"11650","8589","3061","35.64"
"jharkhand",2021,4,"96009042","70795702","25213340","35.61"
"telangana",2019,3,"121495376","89610379","31884997","35.58"
"tamil-nadu",2020,3,"70277825","51870110","18407715","35.49"
"bihar",2019,4,"43530314","32139900","11390414","35.44"
"bihar",2021,2,"155603622","114932477","40671145","35.39"
"maharashtra",2019,4,"201260620","148735581","52525039","35.31"
"andhra-pradesh",2019,3,"76288614","56409015","19879599","35.24"
"bihar",2020,4,"96591673","71503748","25087925","35.09"
"chandigarh",2020,4,"2912716","2158086","754630","34.97"
"andaman-&-nicobar-islands",2022,2,"1071217","794748","276469","34.79"
"maharashtra",2019,2,"101149853","75079069","26070784","34.72"
"telangana",2019,4,"163572258","121495376","42076882","34.63"
"kerala",2019,4,"12498637","9286096","3212541","34.60"
"rajasthan",2019,3,"67303617","50009286","17294331","34.58"
"odisha",2021,3,"177362674","131824337","45538337","34.54"
"arunachal-pradesh",2018,4,"176429","131146","45283","34.53"
"jharkhand",2020,3,"27068473","20141511","6926962","34.39"
"lakshadweep",2024,2,"109085","81176","27909","34.38"
"ladakh",2019,3,"92396","68772","23624","34.35"
"haryana",2018,3,"8262024","6150931","2111093","34.32"
"puducherry",2023,1,"10144295","7556127","2588168","34.25"
"madhya-pradesh",2022,3,"731259559","544899829","186359730","34.20"
"punjab",2018,3,"3462108","2581163","880945","34.13"
"manipur",2019,3,"345008","257425","87583","34.02"
"manipur",2021,2,"3086275","2303535","782740","33.98"
"bihar",2020,3,"71503748","53386742","18117006","33.94"
"karnataka",2023,1,"1844697189","1378910371","465786818","33.78"
"tripura",2019,3,"711717","532558","179159","33.64"
"punjab",2020,4,"22997925","17209573","5788352","33.63"
"kerala",2020,3,"21758680","16287967","5470713","33.59"
"kerala",2021,3,"63028266","47191033","15837233","33.56"
"gujarat",2021,3,"149248407","111841396","37407011","33.45"
"haryana",2019,3,"30343531","22741816","7601715","33.43"
"karnataka",2019,2,"115401604","86587609","28813995","33.28"
"arunachal-pradesh",2021,2,"1568338","1177456","390882","33.20"
"chhattisgarh",2019,4,"16305758","12243111","4062647","33.18"
"ladakh",2020,2,"155010","116419","38591","33.15"
"sikkim",2022,2,"2322081","1744302","577779","33.12"
"himachal-pradesh",2024,2,"52583801","39520561","13063240","33.05"
"haryana",2021,3,"140459693","105680856","34778837","32.91"
"chandigarh",2022,4,"17904840","13478173","4426667","32.84"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,4,"4157085","3129470","1027615","32.84"
"rajasthan",2021,1,"252730919","190283435","62447484","32.82"
"uttar-pradesh",2021,4,"406157932","306543384","99614548","32.50"
"himachal-pradesh",2020,4,"7272328","5489876","1782452","32.47"
"himachal-pradesh",2022,2,"21291371","16088180","5203191","32.34"
"manipur",2020,2,"1083068","818801","264267","32.27"
"punjab",2021,3,"42533489","32171248","10362241","32.21"
"odisha",2020,3,"66033829","50028576","16005253","31.99"
"meghalaya",2019,3,"306550","232286","74264","31.97"
"gujarat",2019,3,"38228649","28981842","9246807","31.91"
"odisha",2021,4,"233925366","177362674","56562692","31.89"
"chhattisgarh",2021,4,"84717494","64237938","20479556","31.88"
"jammu-&-kashmir",2019,1,"3584987","2721310","863677","31.74"
"assam",2021,3,"33504441","25432905","8071536","31.74"
"andaman-&-nicobar-islands",2021,3,"449764","341414","108350","31.74"
"manipur",2024,2,"5063324","3845564","1217760","31.67"
"delhi",2018,2,"9373723","7122754","2250969","31.60"
"madhya-pradesh",2018,2,"10561412","8025395","2536017","31.60"
"jammu-&-kashmir",2020,3,"3465898","2635006","830892","31.53"
"nagaland",2024,2,"5598700","4258924","1339776","31.46"
"madhya-pradesh",2021,1,"201998498","153652541","48345957","31.46"
"rajasthan",2018,2,"9973697","7591690","2382007","31.38"
"gujarat",2020,4,"77828547","59290179","18538368","31.27"
"madhya-pradesh",2019,3,"53610411","40846013","12764398","31.25"
"meghalaya",2021,4,"1440193","1097731","342462","31.20"
"jammu-&-kashmir",2021,3,"13151041","10027819","3123222","31.15"
"manipur",2020,3,"1420168","1083068","337100","31.12"
"jharkhand",2021,3,"70795702","54002145","16793557","31.10"
"ladakh",2019,1,"46145","35211","10934","31.05"
"uttarakhand",2018,3,"2229132","1704122","525010","30.81"
"nagaland",2022,4,"2476205","1894113","582092","30.73"
"uttarakhand",2020,3,"11818935","9047770","2771165","30.63"
"bihar",2021,4,"245126945","187671113","57455832","30.62"
"delhi",2021,1,"157359004","120540417","36818587","30.54"
"uttarakhand",2022,2,"58166878","44560772","13606106","30.53"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,3,"638751","489656","149095","30.45"
"west-bengal",2019,1,"47626388","36513548","11112840","30.43"
"chhattisgarh",2019,3,"12243111","9389945","2853166","30.39"
"goa",2022,4,"17192674","13188687","4003987","30.36"
"assam",2021,2,"25432905","19512060","5920845","30.34"
"assam",2020,1,"8808860","6760510","2048350","30.30"
"kerala",2018,2,"2308165","1771380","536785","30.30"
"manipur",2019,4,"449344","345008","104336","30.24"
"gujarat",2018,2,"7745733","5948775","1796958","30.21"
"uttarakhand",2021,4,"40361280","31042284","9318996","30.02"
"gujarat",2018,4,"14733303","11334149","3399154","29.99"
"meghalaya",2024,2,"11089661","8531262","2558399","29.99"
"sikkim",2023,2,"4412967","3396128","1016839","29.94"
"kerala",2021,4,"81823741","63028266","18795475","29.82"
"madhya-pradesh",2021,4,"404308084","311443334","92864750","29.82"
"ladakh",2024,3,"6913885","5327359","1586526","29.78"
"tripura",2019,1,"580926","448059","132867","29.65"
"mizoram",2019,3,"98094","75671","22423","29.63"
"assam",2022,2,"76334725","58889886","17444839","29.62"
"meghalaya",2019,1,"208741","161132","47609","29.55"
"uttarakhand",2023,2,"102758214","79385675","23372539","29.44"
"uttarakhand",2021,3,"31042284","24000432","7041852","29.34"
"goa",2020,3,"1915531","1482092","433439","29.25"
"mizoram",2020,2,"198462","153609","44853","29.20"
"himachal-pradesh",2018,3,"886754","687695","199059","28.95"
"uttarakhand",2019,4,"7362116","5710476","1651640","28.92"
"arunachal-pradesh",2023,2,"10360488","8042825","2317663","28.82"
"chandigarh",2018,3,"616936","479084","137852","28.77"
"tamil-nadu",2019,3,"41410183","32171737","9238446","28.72"
"uttarakhand",2024,2,"158564982","123234577","35330405","28.67"
"himachal-pradesh",2019,4,"3516646","2735180","781466","28.57"
"haryana",2023,1,"381318464","296648365","84670099","28.54"
"himachal-pradesh",2023,2,"35061595","27301726","7759869","28.42"
"arunachal-pradesh",2019,1,"226506","176429","50077","28.38"
"mizoram",2020,3,"254703","198462","56241","28.34"
"andaman-&-nicobar-islands",2019,1,"30486","23758","6728","28.32"
"jharkhand",2019,4,"18248618","14220647","4027971","28.32"
"chhattisgarh",2020,3,"24148539","18820925","5327614","28.31"
"jammu-&-kashmir",2018,3,"2303961","1796326","507635","28.26"
"west-bengal",2021,3,"181712988","141897437","39815551","28.06"
"assam",2022,1,"58889886","46020361","12869525","27.96"
"punjab",2019,4,"13698625","10706812","2991813","27.94"
"lakshadweep",2024,1,"81176","63479","17697","27.88"
"manipur",2021,3,"3941396","3086275","855121","27.71"
"jammu-&-kashmir",2021,4,"16790628","13151041","3639587","27.68"
"mizoram",2019,4,"125239","98094","27145","27.67"
"rajasthan",2020,4,"190283435","149088676","41194759","27.63"
"sikkim",2022,4,"3058339","2396758","661581","27.60"
"kerala",2019,3,"9286096","7283826","2002270","27.49"
"maharashtra",2021,4,"1010731502","792874060","217857442","27.48"
"mizoram",2019,1,"70306","55242","15064","27.27"
"himachal-pradesh",2021,3,"12064167","9483902","2580265","27.21"
"kerala",2021,1,"42316342","33288187","9028155","27.12"
"madhya-pradesh",2019,4,"68131989","53610411","14521578","27.09"
"maharashtra",2021,1,"517860240","407621004","110239236","27.04"
"arunachal-pradesh",2022,2,"3556925","2804068","752857","26.85"
"tamil-nadu",2021,4,"259155976","204357404","54798572","26.82"
"uttar-pradesh",2021,3,"306543384","241949131","64594253","26.70"
"mizoram",2020,4,"322607","254703","67904","26.66"
"bihar",2022,2,"360145029","284390434","75754595","26.64"
"uttar-pradesh",2019,4,"86905005","68623959","18281046","26.64"
"assam",2021,1,"19512060","15423454","4088606","26.51"
"meghalaya",2020,2,"635395","502283","133112","26.50"
"rajasthan",2019,4,"85074242","67303617","17770625","26.40"
"uttar-pradesh",2020,3,"127405259","100851965","26553294","26.33"
"telangana",2018,2,"10764670","8522766","2241904","26.30"
"meghalaya",2020,4,"754008","597579","156429","26.18"
"bihar",2023,4,"924427274","734238751","190188523","25.90"
"kerala",2020,1,"15733522","12498637","3234885","25.88"
"punjab",2019,3,"10706812","8509830","2196982","25.82"
"telangana",2021,3,"622886768","495867544","127019224","25.62"
"uttar-pradesh",2022,2,"595298776","473953246","121345530","25.60"
"lakshadweep",2024,4,"197777","157478","40299","25.59"
"arunachal-pradesh",2020,4,"1209129","962827","246302","25.58"
"arunachal-pradesh",2024,3,"24447142","19478372","4968770","25.51"
"west-bengal",2020,4,"100340645","79954504","20386141","25.50"
"goa",2024,4,"46131536","36762111","9369425","25.49"
"chandigarh",2018,2,"479084","381895","97189","25.45"
"andaman-&-nicobar-islands",2022,4,"1987535","1584379","403156","25.45"
"arunachal-pradesh",2021,4,"2390598","1906967","483631","25.36"
"tripura",2020,4,"1651890","1317885","334005","25.34"
"lakshadweep",2021,2,"11384","9085","2299","25.31"
"lakshadweep",2023,3,"43757","34918","8839","25.31"
"chandigarh",2022,2,"10772489","8600491","2171998","25.25"
"tripura",2020,3,"1317885","1052520","265365","25.21"
"punjab",2022,2,"72272823","57758302","14514521","25.13"
"chandigarh",2022,3,"13478173","10772489","2705684","25.12"
"gujarat",2020,3,"59290179","47420185","11869994","25.03"
"puducherry",2018,2,"130261","104212","26049","25.00"
"andaman-&-nicobar-islands",2022,1,"794748","636123","158625","24.94"
"madhya-pradesh",2018,4,"21397555","17126985","4270570","24.93"
"delhi",2020,4,"120540417","96491861","24048556","24.92"
"bihar",2023,2,"683933094","547831195","136101899","24.84"
"manipur",2018,4,"236110","189258","46852","24.76"
"manipur",2018,3,"189258","151721","37537","24.74"
"nagaland",2024,3,"6981635","5598700","1382935","24.70"
"haryana",2019,4,"37825985","30343531","7482454","24.66"
"telangana",2021,4,"775989773","622886768","153103005","24.58"
"himachal-pradesh",2021,2,"9483902","7614029","1869873","24.56"
"tripura",2022,3,"4256579","3418664","837915","24.51"
"assam",2020,4,"15423454","12397711","3025743","24.41"
"puducherry",2021,4,"6368810","5121726","1247084","24.35"
"goa",2020,1,"1881237","1515272","365965","24.15"
"arunachal-pradesh",2019,4,"459475","370234","89241","24.10"
"delhi",2022,2,"410634184","330999861","79634323","24.06"
"uttarakhand",2020,1,"9131784","7362116","1769668","24.04"
"goa",2023,4,"33460978","26999728","6461250","23.93"
"west-bengal",2021,4,"225029560","181712988","43316572","23.84"
"karnataka",2021,4,"931725438","753296539","178428899","23.69"
"puducherry",2019,3,"716826","580077","136749","23.57"
"arunachal-pradesh",2023,3,"12802433","10360488","2441945","23.57"
"sikkim",2024,2,"7188322","5820146","1368176","23.51"
"arunachal-pradesh",2020,1,"567175","459475","107700","23.44"
"odisha",2022,3,"386687326","313451598","73235728","23.36"
"sikkim",2020,4,"735035","596435","138600","23.24"
"punjab",2021,4,"52359360","42533489","9825871","23.10"
"ladakh",2023,3,"3621366","2943815","677551","23.02"
"madhya-pradesh",2022,4,"898828268","731259559","167568709","22.92"
"chandigarh",2019,4,"1850915","1506543","344372","22.86"
"tamil-nadu",2021,1,"136556674","111179701","25376973","22.83"
"mizoram",2020,1,"153609","125239","28370","22.65"
"gujarat",2021,4,"182987325","149248407","33738918","22.61"
"delhi",2021,4,"292683359","238760608","53922751","22.58"
"assam",2024,2,"271327087","221525056","49802031","22.48"
"andhra-pradesh",2021,3,"432032550","352767134","79265416","22.47"
"haryana",2022,2,"234699962","191988609","42711353","22.25"
"chandigarh",2020,1,"2262511","1850915","411596","22.24"
"haryana",2024,2,"738553925","604293500","134260425","22.22"
"punjab",2020,3,"17209573","14081294","3128279","22.22"
"tripura",2022,4,"5198190","4256579","941611","22.12"
"meghalaya",2022,2,"2044649","1674750","369899","22.09"
"sikkim",2021,2,"976714","800189","176525","22.06"
"telangana",2020,1,"199409525","163572258","35837267","21.91"
"meghalaya",2023,2,"5077212","4164705","912507","21.91"
"uttarakhand",2022,4,"77983880","63996519","13987361","21.86"
"puducherry",2021,1,"3309432","2716003","593429","21.85"
"rajasthan",2021,4,"487621597","400284753","87336844","21.82"
"bihar",2024,2,"1313888385","1078734783","235153602","21.80"
"gujarat",2021,1,"94774565","77828547","16946018","21.77"
"andhra-pradesh",2021,2,"352767134","289747970","63019164","21.75"
